Account,total_pnl,avg_pnl_per_trade,pnl_std,trades_with_pnl,total_volume,avg_position_size,max_position_size,total_trades,total_fees,win_rate,profit_factor,sharpe_proxy
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,419.1277684596647,4692.452328769463,3818,61697263.97,16159.57673389209,1190250.0,3818,7405.312304,,216.09185316817775,340.9494137545764
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,6.5776539167582415,134.07347277629353,7280,12035487.66,1653.2263269230768,177200.0,7280,2729.83788853,,17.54138782428124,354.513136663828
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,-18.49204287687057,542.1826592941622,3809,33873440.42,8893.000897873459,999998.56,3809,9280.98285,,-7.589294858469802,-129.6731221308283
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,9.951529904139434,113.26935264594304,13311,6757022.1,507.6269326121253,32349.42,13311,2218.3673664509,,59.71248019263988,1159.2330881967498
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,52.0710111126891,255.82909123366827,3239,10166880.2,3138.894782340228,185882.51,3239,3108.196722,,54.262158240709184,656.6935395980962
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,-38.28662574969325,558.7787526232372,815,1409902.0,1729.9411042944785,163467.31,815,147.07476338,,-212.14705907629684,-55.74273735788216
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,4.0281190682641395,730.495483644371,3589,17193375.42,4790.5754862078575,844654.19,3589,1458.65712607,,9.911047611630499,19.763511408128494
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,161.13327482831323,1279.8557881354639,332,1143896.46,3445.471265060241,63734.69,332,176.274175917,,303.46596320810823,41.76601904643321
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,520.9023308929503,2228.336140282739,383,1987527.6099999999,5189.367127937337,96450.65,383,267.967088979,,744.4874988832879,89.49103238720087
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,336.735547567502,1649.4975803457908,1237,2966109.22,2397.824753435732,112740.0,1237,747.006931,,557.6070033424718,252.3735128734521
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,12.130967972884141,88.29284150392282,8519,4408828.9,517.5289235825802,15000.0,8519,1230.8465211819,,83.96081458931275,1157.357235142527
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,155.58931373806246,855.3540027082513,4356,39572949.25,9084.699093204776,610194.33,4356,8025.99239419,,84.44391334017284,791.4332723378415
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,40.740489150316456,656.6936282172401,7584,129672529.28,17098.171054852322,548305.49,7584,40724.467403,,7.5869818207474164,469.7869288372419
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,68.68441935403726,639.4024436908079,12236,420876556.36,34396.58028440667,3921430.72,12236,76424.64289169,,10.996746774984475,1312.3350222907075
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,111.51919668923077,468.9959817825797,975,728057.51,746.7256512820513,12327.5,975,186.8360769324,,581.9293536001745,231.3449922691022
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,270.0349471163522,2525.2404372348287,1590,11474500.92,7216.667245283019,921670.14,1590,1551.43726629,,276.74518834386464,169.95831417573373
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,403011.504159,281.8262266846154,1591.523957653427,1430,3051144.33,2133.6673636363635,59372.72,1430,290.01104816,,1389.593985387795,253.06464133376974
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,38.3195599627009,172.52077341762578,9893,25729497.24,2600.7780491256444,62045.14,9893,2595.25914168,,146.07171203276417,2184.726354340307
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,9.557692781911483,72.5611952371814,1559,5844484.45,3748.8675112251444,144186.1,1559,780.21690296,,19.09757660299994,202.55846848269528
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,-36.43145507085416,1647.7789842055993,4601,10143758.13,2204.6855314062163,214400.0,4601,1579.38545192,,-106.12992748410826,-101.66379265305943
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,34.2823955552067,325.75560971336085,1911,11999173.37,6279.002286760858,606568.35,1911,3384.88221858,,19.354724958859606,200.49742363557402
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,2.928191023869849,68.6130409480178,14998,12304786.84,820.4285131350847,49999.83,14998,3792.54309547,,11.579800696384842,630.8733015814405
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,41.47409637418087,220.3877348338997,3052,10992355.74,3601.689298820446,400000.0,3052,2821.95879926,,44.85483403189736,571.7522799037092
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,6.81210350887536,68.2349036218229,15605,19868207.98,1273.1950003204101,414876.88,15605,2287.9554331042,,46.46174881749565,1535.3942837365812
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,72846.484272,174.6918088057554,976.068751360001,417,861809.4,2066.6892086330936,97708.22,417,189.93800451,,383.50749964401405,74.55614988259892
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,67845.619531,120.50731710657195,474.8098365007934,563,1677425.72,2979.4417761989343,42981.41,563,548.72926461,,123.63908308843044,142.58977920664924
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,21758.831753,40.746875941947565,288.26612386189584,534,4448323.26,8330.193370786517,174720.0,534,541.7456094464,,40.16355599019001,75.22080865365453
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2143382.597689,145.48174829898866,1374.0264020518678,14733,56543565.23,3837.885375008484,102878.22,14733,15995.31825182,,134.00053840377544,1558.7937762435406
