,Profitable (Top 25%),Others
Avg Position Size,9768.489775351345,4754.409234567509
Avg Trade Count,12418.25,4661.583333333333
Avg Volume,91909386.95375,18996347.784583334
Profit Factor,181.4828114467832,158.67922313757242
